,제목,정보제공,날짜
0,"대봉엘에스, 2Q 영업익 30억원…전년동기대비 2.56%↑",아시아경제,2021.08.12 13:10
1,"대봉엘에스, 2Q 영업익 30.4억…전년比 2.6%↑",이데일리,2021.08.12 12:27
2,"대봉엘에스, 아·태지역 최대 바이오헬스 포럼 참가…기술력 과시",헤럴드경제,2021.07.13 17:37
3,"대봉엘에스, ‘생체조직 접착제’ 의료기기소재 개발 나선다",헤럴드경제,2021.07.07 11:22
4,"대봉엘에스, 세계 최초 경구용 진균치료제 신약 개발 박차",헤럴드경제,2021.07.01 09:51
5,"대봉엘에스, 1Q순익 23억원…전년비 5.1% 증가",이데일리,2021.05.17 16:12
6,"연관기사 목록  대봉엘에스, 1분기 매출액 감소…""화장품 수요 회복 등으로 올 사상 ...  아시아경제  2021.05.17 10:45","연관기사 목록  대봉엘에스, 1분기 매출액 감소…""화장품 수요 회복 등으로 올 사상 ...  아시아경제  2021.05.17 10:45","연관기사 목록  대봉엘에스, 1분기 매출액 감소…""화장품 수요 회복 등으로 올 사상 ...  아시아경제  2021.05.17 10:45"
7,"대봉엘에스, 1분기 매출액 감소…""화장품 수요 회복 등으로 올 사상 ...",아시아경제,2021.05.17 10:45
8,대봉엘에스 ‘글로벌 강소기업’ 선정…해외시장 공략 박차,헤럴드경제,2021.05.03 09:26
9,"연관기사 목록  대봉엘에스, 2021년 글로벌 강소기업 지정  파이낸셜뉴스  2021.05.03 09:12  대봉엘에스, 올해 '글로벌 강소기업' 지정  이데일리  2021.05.03 09:06  관련뉴스 1건 더보기","연관기사 목록  대봉엘에스, 2021년 글로벌 강소기업 지정  파이낸셜뉴스  2021.05.03 09:12  대봉엘에스, 올해 '글로벌 강소기업' 지정  이데일리  2021.05.03 09:06  관련뉴스 1건 더보기","연관기사 목록  대봉엘에스, 2021년 글로벌 강소기업 지정  파이낸셜뉴스  2021.05.03 09:12  대봉엘에스, 올해 '글로벌 강소기업' 지정  이데일리  2021.05.03 09:06  관련뉴스 1건 더보기"
10,"대봉엘에스, 2021년 글로벌 강소기업 지정",파이낸셜뉴스,2021.05.03 09:12
11,"대봉엘에스, 올해 '글로벌 강소기업' 지정",이데일리,2021.05.03 09:06
12,"<신제품ㆍ신기술>대봉엘에스, 무좀치료제 한국 이어 日 특허 획득",헤럴드경제,2021.04.21 07:03
13,"대봉엘에스, 항진균제 '에피나코나졸' 제법 日 특허 등록",이데일리,2021.04.20 14:45
14,대봉엘에스 “최고의 원료 개발...‘K-뷰티·바이오’ 글로벌 석권 뒷받...,헤럴드경제,2021.04.14 15:01
15,연관기사 목록  대봉엘에스 “‘K-뷰티’ ‘K-바이오’ 석권 뒷받침하겠다”  헤럴드경제  2021.04.14 07:02,연관기사 목록  대봉엘에스 “‘K-뷰티’ ‘K-바이오’ 석권 뒷받침하겠다”  헤럴드경제  2021.04.14 07:02,연관기사 목록  대봉엘에스 “‘K-뷰티’ ‘K-바이오’ 석권 뒷받침하겠다”  헤럴드경제  2021.04.14 07:02
16,대봉엘에스 “‘K-뷰티’ ‘K-바이오’ 석권 뒷받침하겠다”,헤럴드경제,2021.04.14 07:02
